name,category,type,power,accuracy,pp,priority
Absorb,special,grass,20,100,25,0
Acid Armor,status,poison,0,101,20,0
Acid Spray,special,poison,40,100,20,0
Acrobatics,physical,flying,55,100,15,0
Acupressure,status,normal,0,101,30,0
Aerial Ace,physical,flying,60,101,20,0
After You,status,normal,0,101,15,0
Agility,status,psychic,0,101,30,0
Air Cutter,special,flying,60,95,25,0
Air Slash,special,flying,75,95,15,0
Ally Switch,status,psychic,0,101,15,2
Amnesia,status,psychic,0,101,20,0
Ancient Power,special,rock,60,100,5,0
Aqua Cutter,physical,water,70,100,20,0
Aqua Jet,physical,water,40,100,20,1
Aqua Step,physical,water,80,100,10,0
Aqua Tail,physical,water,90,90,10,0
Arm Thrust,physical,fighting,15,100,20,0
Armor Cannon,special,fire,120,100,5,0
Assurance,physical,dark,60,100,10,0
Astonish,physical,ghost,30,100,15,0
Aura Sphere,special,fighting,80,101,20,0
Aurora Veil,status,ice,0,101,20,0
Avalanche,physical,ice,60,100,10,-4
Axe Kick,physical,fighting,120,90,10,0
Baby-Doll Eyes,status,fairy,0,100,30,1
Baton Pass,status,normal,0,101,40,0
Beat Up,physical,dark,1,100,10,0
Belch,special,poison,120,90,10,0
Belly Drum,status,normal,0,101,10,0
Bite,physical,dark,60,100,25,0
Bitter Blade,physical,fire,90,100,10,0
Blast Burn,special,fire,150,90,5,0
Blizzard,special,ice,110,70,5,0
Block,status,normal,0,101,5,0
Body Press,physical,fighting,80,100,10,0
Body Slam,physical,normal,85,100,15,0
Boomburst,special,normal,140,100,10,0
Bounce,physical,flying,85,85,5,0
Brave Bird,physical,flying,120,100,15,0
Breaking Swipe,physical,dragon,60,100,15,0
Brick Break,physical,fighting,75,100,15,0
Brutal Swing,physical,dark,60,100,20,0
Bug Bite,physical,bug,60,100,20,0
Bug Buzz,special,bug,90,100,10,0
Bulk Up,status,fighting,0,101,20,0
Bulldoze,physical,ground,60,100,20,0
Bullet Seed,physical,grass,25,100,30,0
Calm Mind,status,psychic,0,101,20,0
Charge,status,electric,0,101,20,0
Charge Beam,special,electric,50,90,10,0
Charm,status,fairy,0,100,20,0
Chilling Water,special,water,50,100,20,0
Circle Throw,physical,fighting,60,90,10,-6
Clear Smog,special,poison,50,101,15,0
Close Combat,physical,fighting,120,100,5,0
Coil,status,poison,0,101,20,0
Collision Course,physical,fighting,100,100,5,0
Comeuppance,physical,dark,1,100,10,0
Confuse Ray,status,ghost,0,100,10,0
Confusion,special,psychic,50,100,25,0
Copycat,status,normal,0,101,20,0
Cosmic Power,status,psychic,0,101,20,0
Counter,physical,fighting,1,100,20,-5
Covet,physical,normal,60,100,25,0
Crabhammer,physical,water,100,90,10,0
Cross Chop,physical,fighting,100,80,5,0
