name,types,levitate,weight,hp,attack,defense,special_attack,special_defense,speed,weakness_bug,weakness_dark,weakness_dragon,weakness_electric,weakness_fairy,weakness_fighting,weakness_fire,weakness_flying,weakness_ghost,weakness_grass,weakness_ground,weakness_ice,weakness_normal,weakness_poison,weakness_psychic,weakness_rock,weakness_steel,weakness_water
Annihilape,fighting;ghost,0,56,110,115,80,50,90,90,0.25,1,1,1,2,0,1,2,2,1,1,1,0,0.5,2,0.5,1,1
Arboliva,grass;normal,0,48.2,78,69,90,125,109,39,2,1,1,0.5,1,2,2,2,0,0.5,0.5,2,1,2,1,1,1,0.5
Arctibax,ice;dragon,0,30,90,95,66,45,65,62,1,1,2,0.5,2,2,1,1,1,0.5,1,1,1,1,1,2,2,0.5
Armarouge,fire;psychic,0,85,85,60,100,125,80,75,1,2,1,1,0.5,0.5,0.5,1,2,0.5,2,0.5,1,1,0.5,2,0.5,2
Baxcalibur,ice;dragon,0,210,115,145,92,75,86,87,1,1,2,0.5,2,2,1,1,1,0.5,1,1,1,1,1,2,2,0.5
Bellibolt,electric,0,113,109,64,91,103,83,45,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
Bombirdier,flying;dark,0,42.9,70,103,85,60,85,82,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1
Brambleghast,grass;ghost,0,6,55,115,70,80,70,90,1,2,1,0.5,1,0,2,2,2,0.5,0.5,2,0,1,1,1,1,0.5
Bramblin,grass;ghost,0,0.6,40,65,30,45,35,60,1,2,1,0.5,1,0,2,2,2,0.5,0.5,2,0,1,1,1,1,0.5
Brute Bonnet,dark;grass,0,21,111,127,99,79,99,55,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5
Capsakid,grass,0,3,50,62,40,62,40,50,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
Ceruledge,fire;ghost,0,62,75,125,80,60,100,85,0.25,2,1,1,0.5,0,0.5,1,2,0.5,2,0.5,0,0.5,1,2,0.5,2
Cetitan,ice,0,700,170,113,65,45,55,73,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
Cetoddle,ice,0,45,108,68,45,30,40,43,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1
Charcadet,fire,0,10.5,40,50,40,50,40,35,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Chi-Yu,dark;fire,0,4.9,55,80,80,135,120,100,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2
Chien-Pao,dark;ice,0,152.2,80,120,80,90,65,135,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1
Clodsire,ground;poison,0,223,130,75,60,45,100,20,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2
Crocalor,fire,0,30.7,81,55,78,90,58,49,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
Cyclizar,dragon;normal,0,63,70,95,65,85,65,121,1,1,2,0.5,2,2,0.5,1,0,0.5,1,2,1,1,1,1,1,0.5
Dachsbun,fairy,0,14.9,57,80,115,50,80,95,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
Dolliv,normal;grass,0,11.9,52,53,60,78,78,33,2,1,1,0.5,1,2,2,2,0,0.5,0.5,2,1,2,1,1,1,0.5
