name,types,levitate,weight,hp,attack,defense,special_attack,special_defense,speed,weakness_bug,weakness_dark,weakness_dragon,weakness_electric,weakness_fairy,weakness_fighting,weakness_fire,weakness_flying,weakness_ghost,weakness_grass,weakness_ground,weakness_ice,weakness_normal,weakness_poison,weakness_psychic,weakness_rock,weakness_steel,weakness_water
Abomasnow,grass;ice,0,135.5,90,92,75,92,85,60,2,1,1,0.5,1,2,4,2,1,0.5,0.5,1,1,2,1,2,2,0.5
Abra,psychic;none,0,19.5,25,20,15,105,55,90,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Absol,dark;none,0,47,65,130,60,75,60,75,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
Accelgor,bug;none,0,25.3,80,70,40,100,60,145,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
Aegislash Blade Forme,steel;ghost,0,53,60,150,50,150,50,60,0.25,2,0.5,1,0.5,0,2,0.5,2,0.5,2,0.5,0,0,0.5,0.5,0.5,1
Aegislash Shield Forme,steel;ghost,0,53,60,50,150,50,150,60,0.25,2,0.5,1,0.5,0,2,0.5,2,0.5,2,0.5,0,0,0.5,0.5,0.5,1
Aerodactyl,rock;flying,0,59,80,105,65,60,75,130,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2
Aggron,steel;rock,0,360,70,110,180,60,60,50,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2
Aipom,normal;none,0,11.5,55,70,55,40,55,85,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
Alakazam,psychic;none,0,48,55,50,45,135,95,120,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
Alcremie,fairy;none,0,0.5,65,60,75,110,121,64,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
Alolan Diglett,ground;steel,0,1,10,55,30,35,45,90,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2
Alolan Dugtrio,ground;steel,0,66.6,35,100,60,50,70,110,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2
Alolan Exeggutor,grass;dragon,0,415.6,95,105,85,125,75,45,2,1,2,0.25,2,1,1,2,1,0.25,0.5,4,1,2,1,1,1,0.25
Alolan Geodude,rock;electric,0,20.3,40,80,100,30,30,20,1,1,1,0.5,1,2,0.5,0.25,1,2,4,1,0.5,0.5,1,1,1,2
Alolan Golem,rock;electric,0,316,80,120,130,55,65,45,1,1,1,0.5,1,2,0.5,0.25,1,2,4,1,0.5,0.5,1,1,1,2
Alolan Graveler,rock;electric,0,110,55,95,115,45,45,35,1,1,1,0.5,1,2,0.5,0.25,1,2,4,1,0.5,0.5,1,1,1,2
Alolan Grimer,poison;dark,0,42,80,80,50,40,50,25,1,0.5,1,1,1,1,1,1,0.5,0.5,2,1,1,0.5,0,1,1,1
Alolan Marowak,fire;ghost,0,34,60,80,110,50,80,45,0.25,2,1,1,0.5,0,0.5,1,2,0.5,2,0.5,0,0.5,1,2,0.5,2
Alolan Meowth,dark;none,0,4.2,40,35,35,50,40,90,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
Alolan Muk,poison;dark,0,52,105,105,75,65,100,50,1,0.5,1,1,1,1,1,1,0.5,0.5,2,1,1,0.5,0,1,1,1
Alolan Ninetales,ice;fairy,0,19.9,73,67,75,81,100,109,0.5,0.5,0,1,1,1,2,1,1,1,1,0.5,1,2,1,2,4,1
Alolan Persian,dark;none,0,33,65,60,60,75,65,115,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
Alolan Raichu,electric;psychic,0,21,60,85,50,95,85,110,2,2,1,0.5,1,0.5,1,0.5,2,1,2,1,1,1,0.5,1,0.5,1
Alolan Raticate,dark;normal,0,25.5,75,71,70,40,80,77,2,0.5,1,1,2,4,1,1,0,1,1,1,1,1,0,1,1,1
Alolan Rattata,dark;normal,0,3.8,30,56,35,25,35,72,2,0.5,1,1,2,4,1,1,0,1,1,1,1,1,0,1,1,1
