active_pokemon_types,active_pokemon_levitate,active_pokemon_weight,active_pokemon_hp,active_pokemon_attack,active_pokemon_defense,active_pokemon_special_attack,active_pokemon_special_defense,active_pokemon_speed,opponent_pokemon_types,opponent_pokemon_levitate,opponent_pokemon_weight,opponent_pokemon_hp,opponent_pokemon_attack,opponent_pokemon_defense,opponent_pokemon_special_attack,opponent_pokemon_special_defense,opponent_pokemon_speed,entering_pokemon_types,entering_pokemon_levitate,entering_pokemon_weight,entering_pokemon_hp,entering_pokemon_attack,entering_pokemon_defense,entering_pokemon_special_attack,entering_pokemon_special_defense,entering_pokemon_speed,active_attack,active_defense,active_special_attack,active_special_defense,active_speed,opponent_attack,opponent_defense,opponent_special_attack,opponent_special_defense,opponent_speed,move
normal,0,32.5,85,80,90,105,95,60,psychic;fairy,0,5.1,57,90,95,136,103,29,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,0,0,0,0,0,Shadow Ball
normal,0,32.5,85,80,90,105,95,60,psychic;fairy,0,5.1,57,90,95,136,103,29,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,0,0,1,1,0,Shadow Ball
normal,0,32.5,85,80,90,105,95,60,psychic;fairy,0,5.1,57,90,95,136,103,29,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,0,0,1,1,0,Shadow Ball
psychic;fairy,0,5.1,57,90,95,136,103,29,normal,0,32.5,85,80,90,105,95,60,water,0,90.0,65,45,55,45,70,45,0,0,1,1,0,0,0,0,0,0,Switch
normal,0,32.5,85,80,90,105,95,60,water,0,90.0,65,45,55,45,70,45,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,0,0,1,1,0,Shadow Ball
water,0,90.0,65,45,55,45,70,45,normal,0,32.5,85,80,90,105,95,60,water,0,10.0,20,10,55,15,20,80,0,0,1,1,0,0,0,0,0,0,Encore
water,0,90.0,65,45,55,45,70,45,normal,0,32.5,85,80,90,105,95,60,normal;fairy,0,2.0,50,20,40,20,40,20,0,0,1,1,0,0,0,0,0,0,Switch
normal,0,32.5,85,80,90,105,95,60,water,0,90.0,65,45,55,45,70,45,steel,0,28.0,70,110,100,50,60,50,0,0,0,0,0,0,0,1,1,0,Switch
normal;fairy,0,2.0,50,20,40,20,40,20,normal;fairy,0,2.0,50,20,40,20,40,20,water,0,10.0,20,10,55,15,20,80,0,0,1,1,0,0,0,0,0,0,Belly Drum
rock;fairy,0,5.7,50,50,150,50,150,50,water;dragon,0,280.0,99,83,91,125,83,109,ground;steel,0,40.4,110,135,60,50,65,88,0,0,0,0,0,0,0,0,0,0,Switch
rock;fairy,0,5.7,50,50,150,50,150,50,water;dragon,0,280.0,99,83,91,125,83,109,dragon;ghost,0,50.0,88,120,75,100,75,142,0,0,0,0,0,0,0,0,0,0,Switch
water;dragon,0,280.0,99,83,91,125,83,109,rock;fairy,0,5.7,50,50,150,50,150,50,fire,0,80.4,70,85,140,85,70,20,0,0,0,0,0,0,0,0,0,0,Switch
rock;fairy,0,5.7,50,50,150,50,150,50,water;dragon,0,280.0,99,83,91,125,83,109,dragon;ice,0,325.0,125,130,90,130,90,95,0,0,0,0,0,0,0,0,0,0,Switch
fire,0,80.4,70,85,140,85,70,20,dragon;ice,0,325.0,125,130,90,130,90,95,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,0,0,0,0,0,Lava Plume
fire,0,80.4,70,85,140,85,70,20,dragon;ice,0,325.0,125,130,90,130,90,95,normal,0,460.0,160,110,65,65,110,30,0,0,0,0,0,0,0,0,0,0,Switch
dragon;ice,0,325.0,125,130,90,130,90,95,normal,0,460.0,160,110,65,65,110,30,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,0,0,0,0,0,Earth Power
dragon;ice,0,325.0,125,130,90,130,90,95,normal,0,460.0,160,110,65,65,110,30,dragon;ghost,0,50.0,88,120,75,100,75,142,0,0,0,0,0,0,0,0,0,0,Switch
dragon;ghost,0,50.0,88,120,75,100,75,142,normal,0,460.0,160,110,65,65,110,30,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,0,0,0,0,0,Will-O-Wisp
normal,0,460.0,160,110,65,65,110,30,dragon;ghost,0,50.0,88,120,75,100,75,142,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,0,0,0,0,0,Ice Punch
dragon;ghost,0,50.0,88,120,75,100,75,142,normal,0,460.0,160,110,65,65,110,30,dragon;dark,0,380.0,105,139,71,55,101,119,0,0,0,0,0,0,0,0,0,0,Switch
normal,0,460.0,160,110,65,65,110,30,dragon;dark,0,380.0,105,139,71,55,101,119,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,0,0,0,0,0,Ice Punch
dragon;dark,0,380.0,105,139,71,55,101,119,dragon;dark,0,380.0,105,139,71,55,101,119,water,0,10.0,20,10,55,15,20,80,1,0,0,0,1,0,0,0,0,0,Dragon Dance
normal,0,460.0,160,110,65,65,110,30,dragon;dark,0,380.0,105,139,71,55,101,119,water,0,10.0,20,10,55,15,20,80,0,0,0,0,-1,1,0,0,0,1,Hammer Arm
dragon;dark,0,380.0,105,139,71,55,101,119,normal,0,460.0,160,110,65,65,110,30,ghost;fairy,0,0.7,55,90,80,50,105,96,1,0,0,0,1,0,0,0,0,-1,Switch
ghost;fairy,0,0.7,55,90,80,50,105,96,normal,0,460.0,160,110,65,65,110,30,water,0,10.0,20,10,55,15,20,80,1,0,0,0,1,0,0,0,0,-1,Thunder Wave
normal,0,460.0,160,110,65,65,110,30,ghost;fairy,0,0.7,55,90,80,50,105,96,water,0,10.0,20,10,55,15,20,80,0,0,0,0,-1,1,0,0,0,1,Ice Punch
ghost;fairy,0,0.7,55,90,80,50,105,96,normal,0,460.0,160,110,65,65,110,30,water,0,10.0,20,10,55,15,20,80,1,0,0,0,1,0,0,0,0,-1,Play Rough
ghost;fairy,0,0.7,55,90,80,50,105,96,normal,0,460.0,160,110,65,65,110,30,dragon;ice,0,325.0,125,130,90,130,90,95,1,0,0,0,1,0,0,0,0,-1,Switch
dragon;ice,0,325.0,125,130,90,130,90,95,normal,0,460.0,160,110,65,65,110,30,water,0,10.0,20,10,55,15,20,80,1,0,-2,0,1,0,0,0,0,-1,Draco Meteor
normal,0,460.0,160,110,65,65,110,30,dragon;ice,0,325.0,125,130,90,130,90,95,water,0,10.0,20,10,55,15,20,80,0,0,0,0,-2,1,0,-2,0,1,Hammer Arm
fire;ghost,0,62.0,75,125,80,60,100,85,ground;fighting,0,320.0,115,131,131,53,53,87,grass,0,39.8,80,120,84,60,96,110,0,0,0,0,0,0,0,0,0,0,Switch
ground;fighting,0,320.0,115,131,131,53,53,87,ground;fighting,0,320.0,115,131,131,53,53,87,water,0,10.0,20,10,55,15,20,80,1,1,0,0,0,0,0,0,0,0,Bulk Up
grass,0,39.8,80,120,84,60,96,110,ground;fighting,0,320.0,115,131,131,53,53,87,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,1,1,0,0,0,Taunt
ground;fighting,0,320.0,115,131,131,53,53,87,grass,0,39.8,80,120,84,60,96,110,water,0,10.0,20,10,55,15,20,80,1,1,0,0,1,0,0,0,0,0,Rapid Spin
ground;fighting,0,320.0,115,131,131,53,53,87,grass,0,39.8,80,120,84,60,96,110,water,0,10.0,20,10,55,15,20,80,1,1,0,0,1,0,0,0,0,0,Ice Spinner
grass,0,39.8,80,120,84,60,96,110,ground;fighting,0,320.0,115,131,131,53,53,87,ground;fighting,0,320.0,115,131,131,53,53,87,0,0,0,0,0,1,1,0,0,1,Switch
ground;fighting,0,320.0,115,131,131,53,53,87,ground;fighting,0,320.0,115,131,131,53,53,87,water,0,10.0,20,10,55,15,20,80,1,1,0,0,1,0,0,0,0,0,Ice Spinner
ground;fighting,0,320.0,115,131,131,53,53,87,ground;fighting,0,320.0,115,131,131,53,53,87,water,0,10.0,20,10,55,15,20,80,0,-1,0,-1,0,1,1,0,0,1,Headlong Rush
ground;fighting,0,320.0,115,131,131,53,53,87,ground;fighting,0,320.0,115,131,131,53,53,87,grass,0,39.8,80,120,84,60,96,110,0,-1,0,-1,0,1,1,0,0,1,Switch
ground;fighting,0,320.0,115,131,131,53,53,87,ground;fighting,0,320.0,115,131,131,53,53,87,fire;ghost,0,62.0,75,125,80,60,100,85,0,-1,0,-1,0,1,1,0,0,1,Switch
ground;fighting,0,320.0,115,131,131,53,53,87,ground;fighting,0,320.0,115,131,131,53,53,87,grass,0,39.8,80,120,84,60,96,110,1,1,0,0,1,0,-1,0,-1,0,Switch
ground;fighting,0,320.0,115,131,131,53,53,87,ground;fighting,0,320.0,115,131,131,53,53,87,steel;ghost,0,30.0,87,60,95,133,91,84,0,-1,0,-1,0,1,1,0,0,1,Switch
ground;fighting,0,320.0,115,131,131,53,53,87,ground;fighting,0,320.0,115,131,131,53,53,87,bug;electric,0,14.3,70,77,60,97,60,108,0,-1,0,-1,0,1,1,0,0,1,Switch
ground;fighting,0,320.0,115,131,131,53,53,87,ground;fighting,0,320.0,115,131,131,53,53,87,fire;ghost,0,326.5,104,75,100,110,75,66,1,1,0,0,1,0,-1,0,-1,0,Switch
ground;fighting,0,320.0,115,131,131,53,53,87,fire;ghost,0,326.5,104,75,100,110,75,66,water,0,10.0,20,10,55,15,20,80,0,-2,0,-2,0,1,1,1,0,1,Headlong Rush
steel;ghost,0,30.0,87,60,95,133,91,84,dragon;ghost,0,50.0,88,120,75,100,75,142,grass,0,39.8,80,120,84,60,96,110,0,0,0,0,0,0,0,0,0,0,Switch
dragon;ghost,0,50.0,88,120,75,100,75,142,steel;ghost,0,30.0,87,60,95,133,91,84,dark;ground,0,699.7,155,110,125,55,80,45,0,0,0,0,0,0,0,0,0,0,Switch
steel;ghost,0,30.0,87,60,95,133,91,84,dragon;ghost,0,50.0,88,120,75,100,75,142,grass,0,39.8,80,120,84,60,96,110,0,0,0,0,0,0,0,0,0,0,Switch
dragon;ghost,0,50.0,88,120,75,100,75,142,steel;ghost,0,30.0,87,60,95,133,91,84,flying;steel,0,75.0,98,87,105,53,85,67,0,0,0,0,0,0,0,0,0,0,Switch
steel;ghost,0,30.0,87,60,95,133,91,84,dragon;ghost,0,50.0,88,120,75,100,75,142,steel;ghost,0,30.0,87,60,95,133,91,84,0,0,0,0,0,0,0,0,0,0,Switch
dragon;ghost,0,50.0,88,120,75,100,75,142,steel;ghost,0,30.0,87,60,95,133,91,84,dragon;ghost,0,50.0,88,120,75,100,75,142,0,0,0,0,0,0,0,0,0,0,Switch
steel;ghost,0,30.0,87,60,95,133,91,84,dragon;ghost,0,50.0,88,120,75,100,75,142,ground;fighting,0,320.0,115,131,131,53,53,87,0,0,0,0,0,0,0,0,0,0,Switch
dragon;ghost,0,50.0,88,120,75,100,75,142,steel;ghost,0,30.0,87,60,95,133,91,84,water;psychic,0,79.5,95,75,80,100,110,30,0,0,0,0,0,0,0,0,0,0,Switch
ground;fighting,0,320.0,115,131,131,53,53,87,water;psychic,0,79.5,95,75,80,100,110,30,water,0,10.0,20,10,55,15,20,80,0,-1,0,-1,0,0,0,0,0,0,Headlong Rush
water;psychic,0,79.5,95,75,80,100,110,30,ground;fighting,0,320.0,115,131,131,53,53,87,dragon;ghost,0,50.0,88,120,75,100,75,142,0,0,0,0,0,0,-1,0,-1,0,Switch
ground;fighting,0,320.0,115,131,131,53,53,87,water;psychic,0,79.5,95,75,80,100,110,30,steel;ghost,0,30.0,87,60,95,133,91,84,0,-1,0,-1,0,0,0,-2,0,0,Switch
ground;fighting,0,320.0,115,131,131,53,53,87,water;psychic,0,79.5,95,75,80,100,110,30,grass,0,39.8,80,120,84,60,96,110,0,-1,0,-1,0,0,0,-2,0,0,Switch
water;psychic,0,79.5,95,75,80,100,110,30,ground;fighting,0,320.0,115,131,131,53,53,87,flying;steel,0,75.0,98,87,105,53,85,67,0,0,-2,0,0,0,-1,0,-1,0,Switch
ground;fighting,0,320.0,115,131,131,53,53,87,water;psychic,0,79.5,95,75,80,100,110,30,dragon;flying,0,210.0,91,134,95,100,100,80,0,-1,0,-1,0,0,0,-2,0,0,Switch
water;psychic,0,79.5,95,75,80,100,110,30,ground;fighting,0,320.0,115,131,131,53,53,87,dragon;ghost,0,50.0,88,120,75,100,75,142,0,0,-2,0,0,0,-1,0,-1,0,Switch
water;psychic,0,79.5,95,75,80,100,110,30,ground;fighting,0,320.0,115,131,131,53,53,87,rock,0,240.0,100,100,130,45,90,35,0,0,-2,0,0,0,-1,0,-1,0,Switch
water;psychic,0,79.5,95,75,80,100,110,30,ground;fighting,0,320.0,115,131,131,53,53,87,flying;steel,0,75.0,98,87,105,53,85,67,0,0,-2,0,0,0,-1,0,-1,0,Switch
dragon;flying,0,210.0,91,134,95,100,100,80,flying;steel,0,75.0,98,87,105,53,85,67,water,0,10.0,20,10,55,15,20,80,0,-1,0,-1,0,0,0,-2,0,0,Outrage
dragon;flying,0,210.0,91,134,95,100,100,80,flying;steel,0,75.0,98,87,105,53,85,67,fighting,0,210.0,92,120,115,80,115,138,0,0,0,-1,0,0,0,-2,0,0,Switch
fighting,0,210.0,92,120,115,80,115,138,fighting,0,210.0,92,120,115,80,115,138,water,0,10.0,20,10,55,15,20,80,0,2,0,-1,0,0,0,-2,0,0,Iron Defense
fighting,0,210.0,92,120,115,80,115,138,fighting,0,210.0,92,120,115,80,115,138,water,0,10.0,20,10,55,15,20,80,0,4,0,-1,0,0,2,-2,0,0,Iron Defense
flying;steel,0,75.0,98,87,105,53,85,67,flying;steel,0,75.0,98,87,105,53,85,67,water,0,10.0,20,10,55,15,20,80,0,6,-2,0,0,0,4,0,-1,0,Iron Defense
flying;steel,0,75.0,98,87,105,53,85,67,flying;steel,0,75.0,98,87,105,53,85,67,dragon;ghost,0,50.0,88,120,75,100,75,142,0,6,-2,0,0,0,4,0,-1,0,Switch
dragon;ghost,0,50.0,88,120,75,100,75,142,fighting,0,210.0,92,120,115,80,115,138,water,0,10.0,20,10,55,15,20,80,0,6,-2,0,0,0,4,0,-1,0,Thunder Wave
dragon;ghost,0,50.0,88,120,75,100,75,142,fighting,0,210.0,92,120,115,80,115,138,water,0,10.0,20,10,55,15,20,80,0,5,-2,0,0,0,4,0,-1,0,Hex
dragon;ghost,0,50.0,88,120,75,100,75,142,fighting,0,210.0,92,120,115,80,115,138,dark;ground,0,699.7,155,110,125,55,80,45,0,5,-2,0,0,0,4,0,-1,0,Switch
dragon;ghost,0,50.0,88,120,75,100,75,142,fighting,0,210.0,92,120,115,80,115,138,rock,0,240.0,100,100,130,45,90,35,0,5,-2,0,0,0,4,0,-1,0,Switch
dragon;ghost,0,50.0,88,120,75,100,75,142,fighting,0,210.0,92,120,115,80,115,138,flying;steel,0,75.0,98,87,105,53,85,67,0,5,-2,0,0,0,4,0,-1,0,Switch
dark;ice,0,34.0,70,120,65,45,85,125,poison,0,65.0,60,95,69,65,79,80,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,0,0,0,0,0,Knock Off
poison,0,65.0,60,95,69,65,79,80,dark;ice,0,34.0,70,120,65,45,85,125,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,0,0,0,0,0,Glare
dark;ice,0,34.0,70,120,65,45,85,125,poison,0,65.0,60,95,69,65,79,80,water;psychic,0,79.5,95,75,80,100,110,30,0,0,0,0,0,0,0,0,0,0,Switch
poison,0,65.0,60,95,69,65,79,80,water;psychic,0,79.5,95,75,80,100,110,30,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,0,0,0,0,0,Knock Off
poison,0,65.0,60,95,69,65,79,80,water;psychic,0,79.5,95,75,80,100,110,30,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,0,0,0,0,0,Glare
water;psychic,0,79.5,95,75,80,100,110,30,poison,0,65.0,60,95,69,65,79,80,dragon;ghost,0,50.0,88,120,75,100,75,142,0,0,0,0,0,0,0,0,0,0,Switch
poison,0,65.0,60,95,69,65,79,80,dragon;ghost,0,50.0,88,120,75,100,75,142,water,0,10.0,20,10,55,15,20,80,0,0,0,0,0,0,0,0,0,0,Knock Off
poison,0,65.0,60,95,69,65,79,80,dragon;ghost,0,50.0,88,120,75,100,75,142,electric;dark,0,3.0,58,95,58,70,58,97,0,0,0,0,0,0,0,-2,0,0,Switch
dragon;ghost,0,50.0,88,120,75,100,75,142,electric;dark,0,3.0,58,95,58,70,58,97,water,0,10.0,20,10,55,15,20,80,0,0,-2,0,0,0,0,0,0,0,Will-O-Wisp
dragon;ghost,0,50.0,88,120,75,100,75,142,electric;dark,0,3.0,58,95,58,70,58,97,dark;ice,0,34.0,70,120,65,45,85,125,0,0,-2,0,0,0,0,0,0,2,Switch
electric;dark,0,3.0,58,95,58,70,58,97,dragon;ghost,0,50.0,88,120,75,100,75,142,bug;flying,0,51.5,86,76,86,116,56,95,0,0,0,0,3,0,0,-2,0,0,Switch
dark;ice,0,34.0,70,120,65,45,85,125,bug;flying,0,51.5,86,76,86,116,56,95,water,0,10.0,20,10,55,15,20,80,0,0,-2,0,0,0,0,0,0,3,Ice Shard
bug;flying,0,51.5,86,76,86,116,56,95,dark;ice,0,34.0,70,120,65,45,85,125,water,0,10.0,20,10,55,15,20,80,0,0,1,0,4,0,0,-2,0,0,Bug Buzz
dark;ice,0,34.0,70,120,65,45,85,125,bug;flying,0,51.5,86,76,86,116,56,95,fire,0,33.0,80,116,75,65,75,119,0,0,-2,0,0,0,0,1,0,4,Switch
